"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"INT","Interlaken",577,"633023","169092",201907081050,21.9,0,0,373,64,4.3,63
"JUN","Jungfraujoch",3580,"641930","155275",201907081050,-1,-,1,754,95,22.3,-
"KOP","Koppigen",485,"612662","218664",201907081050,23.8,0,0,379,48,8.6,60
"BRL","La Brévine",1050,"536981","203974",201907081050,20.4,0,10,686,50,11.5,62
"CDF","La Chaux-de-Fonds",1017,"550919","214861",201907081050,20,0,5,696,57,6.8,63
"DOL","La Dôle",1669,"497060","142371",201907081050,18,0,6,685,67,20.2,55
"LAC","Lachen/Galgenen",468,"707637","226334",201907081050,21.5,0,-,-,67,-,-
"LAG","Langnau i.E.",743,"628003","198793",201907081050,22.8,0,10,970,59,4.3,71
"MLS","Le Moléson",1974,"567718","155076",201907081050,12.6,0,0,294,84,15.5,50
"LEI","Leibstadt",341,"656373","272121",201907081050,22.5,0,0,684,62,5.4,64
"ATT","Les Attelas",2735,"586854","105302",201907081050,10,-,10,941,64,9.4,-
"CHB","Les Charbonnières",1045,"513821","169387",201907081050,21.1,0,-,-,52,11.5,-
"DIA","Les Diablerets",2964,"581914","130622",201907081050,6.4,-,10,1114,82,12.6,-
"MAR","Les Marécottes",990,"567375","107577",201907081050,22,0,-,-,62,5.8,-
"OTL","Locarno/Monti",366,"704172","114342",201907081050,27.1,0,10,885,35,6.8,69
"LUG","Lugano",273,"717873","95884",201907081050,27.6,0,10,841,47,5,72
"LUZ","Luzern",454,"665543","209849",201907081050,23.1,0,8,982,56,5.4,69
"LAE","Lägern",845,"672250","259460",201907081050,18,-,3,787,70,9,-
"MAG","Magadino/Cadenazzo",203,"715479","113161",201907081050,27.5,0,10,862,40,10.4,68
"MAS","Marsens",714,"571758","167316",201907081050,23,0,-,-,52,6.8,-
"MAH","Mathod",437,"533458","176567",201907081050,24.8,0,10,997,65,5.4,73
"MTR","Matro",2171,"714263","140943",201907081050,13.3,-,10,1079,45,16.9,-
