"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)"
"MAG","Magadino / Cadenazzo",203,710517,714984,201907082040,24.7,0,0,0,47,6.8
"MAS","Marsens",714,710517,714984,201907082040,17.6,0,-,-,73,7.2
"MAH","Mathod",437,710517,714984,201907082040,19.3,0,0,2,85,9
"MTR","Matro",2171,710517,714984,201907082040,10.9,-,0,0,64,15.5
"MER","Meiringen",588,710517,714984,201907082040,17.1,0,0,2,95,0.7
"MOB","Montagnier, Bagnes",839,710517,714984,201907082040,17.2,0,-,-,74,3.2
"MVE","Montana",1427,710517,714984,201907082040,16.7,0,0,2,58,5
"GEN","Monte Generoso",1600,710517,714984,201907082040,17.7,0,0,0,38,13.7
"MRP","Monte Rosa-Plattje",2885,710517,714984,201907082040,8.1,-,0,3,56,5
"MOA","Mosen",453,710517,714984,201907082040,18.3,0,0,0,75,7.9
"MTE","Mottec",1580,710517,714984,201907082040,12.8,0,0,2,77,4
"MOE","Möhlin",343,710517,714984,201907082040,17.6,0,0,0,75,6.8
"MUB","Mühleberg",479,710517,714984,201907082040,18.1,0,0,2,75,4.7
"MSK","Mühleberg / Stockeren",775,710517,714984,201907082040,-,-,0,1,-,-
"NAS","Naluns / Schlivera",2380,710517,714984,201907082040,7.3,-,0,0,79,18.4
"NAP","Napf",1403,710517,714984,201907082040,12.1,0,0,0,98,7.6
"NEU","Neuchâtel",485,710517,714984,201907082040,19.6,0,0,0,64,9.7
"CGI","Nyon / Changins",455,710517,714984,201907082040,21.1,0,0,0,67,13.3
"OBR","Oberriet / Kriessern",409,710517,714984,201907082040,16.8,0,-,-,93,8.3
"AEG","Oberägeri",724,710517,714984,201907082040,-,-,-,-,-,8.6
"ORO","Oron",828,710517,714984,201907082040,17.3,0,0,0,79,17.3
"BEH","Passo del Bernina",2260,710517,714984,201907082040,9.3,0,0,4,74,15.8
"PAY","Payerne",490,710517,714984,201907082040,18.2,0,0,0,74,7.6
"PIL","Pilatus",2106,710517,714984,201907082040,8.4,0,0,0,99,7.2
"PIO","Piotta",990,710517,714984,201907082040,17.1,0,0,2,64,22.7
"COV","Piz Corvatsch",3302,710517,714984,201907082040,2.2,0,0,0,89,20.5
"PMA","Piz Martegnas",2670,710517,714984,201907082040,6,0,0,0,82,16.2
"PLF","Plaffeien",1042,710517,714984,201907082040,15.3,0,0,1,80,6.1
"ROB","Poschiavo / Robbia",1078,710517,714984,201907082040,15.7,0,0,3,71,3.2
"PUY","Pully",455,710517,714984,201907082040,21.7,0,0,3,60,9.4
"QUI","Quinten",419,710517,714984,201907082040,-,-,-,-,-,2.5
"ROE","Robièi",1896,710517,714984,201907082040,13.6,0,0,0,55,13.3
"RUE","Rünenberg",611,710517,714984,201907082040,14.9,0,0,1,80,4
"SBE","S. Bernardino",1638,710517,714984,201907082040,13,0,0,0,72,16.2
"HAI","Salen-Reutenen",718,710517,714984,201907082040,15.1,0,0,0,88,1.8
"SAM","Samedan",1708,710517,714984,201907082040,10.6,0,0,0,86,5
"SAG","Sattel, SZ",790,710517,714984,201907082040,14.8,0,-,-,94,8.3
"SHA","Schaffhausen",438,710517,714984,201907082040,16.5,0,0,0,85,6.5
"SRS","Schiers",626,710517,714984,201907082040,15.6,0.1,-,-,99,2.2
"SCM","Schmerikon",408,710517,714984,201907082040,-,-,-,-,-,4.3
"SPF","Schüpfheim",744,710517,714984,201907082040,16.3,0,0,0,94,1.8
"SCU","Scuol",1303,710517,714984,201907082040,11.5,0,0,1,97,1.8
"SIA","Segl-Maria",1804,710517,714984,201907082040,10.7,0,0,2,78,3.2
"SIM","Simplon-Dorf",1465,710517,714984,201907082040,18.1,0,0,1,48,15.8
"SIO","Sion",482,710517,714984,201907082040,23.3,0,0,0,51,3.2
"PRE","St-Prex",425,710517,714984,201907082040,-,-,-,-,-,16.9
"STC","St. Chrischona",493,710517,714984,201907082040,-,-,0,0,-,-
"STG","St. Gallen",775,710517,714984,201907082040,14.9,0,0,0,92,2.5
"SMM","Sta. Maria, Val Müstair",1386,710517,714984,201907082040,13.5,0,0,2,66,7.6
"SBO","Stabio",353,710517,714984,201907082040,21.2,0,0,3,70,6.1
"STK","Steckborn",397,710517,714984,201907082040,-,-,-,-,-,3.2
"SAE","Säntis",2502,710517,714984,201907082040,4.4,0,0,0,100,6.5
"THU","Thun",570,710517,714984,201907082040,16.7,0,0,0,98,3.2
"TIT","Titlis",3040,710517,714984,201907082040,3.4,-,0,0,100,29.9
"UEB","Uetliberg",854,710517,714984,201907082040,-,-,0,2,-,-
"ULR","Ulrichen",1345,710517,714984,201907082040,11.2,0,0,1,93,1.8
"VAD","Vaduz",457,710517,714984,201907082040,16.7,0,0,2,93,4
"VAB","Valbella",1568,710517,714984,201907082040,10.2,0,0,0,99,6.5
"VLS","Vals",1242,710517,714984,201907082040,12.6,0,-,-,99,5.4
"VEV","Vevey / Corseaux",405,710517,714984,201907082040,24,0,0,1,51,17.3
"VIO","Vicosoprano",1089,710517,714984,201907082040,18.8,0,0,5,51,15.8
"VIT","Villars-Tiercelin",859,710517,714984,201907082040,16.6,0,-,-,80,14
"VIS","Visp",639,710517,714984,201907082040,19.7,0,0,4,62,4.3
"WFJ","Weissfluhjoch",2691,710517,714984,201907082040,4.5,0.6,0,0,99,20.5
"WYN","Wynau",422,710517,714984,201907082040,17.9,0,0,0,73,5.8
"WAE","Wädenswil",485,710517,714984,201907082040,17.8,0,0,1,86,5.4
"PSI","Würenlingen / PSI",334,710517,714984,201907082040,16.9,0,0,1,86,-
"ZER","Zermatt",1638,710517,714984,201907082040,15.5,0,0,1,56,3.2
"REH","Zürich / Affoltern",443,710517,714984,201907082040,17.2,0,0,1,81,1.4
"SMA","Zürich / Fluntern",555,710517,714984,201907082040,17,0,0,0,78,9.7
"KLO","Zürich / Kloten",426,710517,714984,201907082040,16.5,0,0,3,87,8.3
