"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"GOR","Gornergrat",3129,626900,92512,"2020-02-26 10:20:00",-16.3,-,0,138,99,26.3,-
"GRE","Grenchen",427,598218,225349,"2020-02-26 10:20:00",2,0,0,92,78,33.5,34
"GRH","Grimsel Hospiz",1980,668583,158215,"2020-02-26 10:20:00",-7.6,0.8,0,83,95,24.1,8
"GRO","Grono",323,733016,124090,"2020-02-26 10:20:00",7.5,0,0,158,66,4.3,50
"GRC","Grächen",1605,630738,116062,"2020-02-26 10:20:00",-4.2,0,0,39,56,-,29
"GOS","Göschenen",950,688477,171926,"2020-02-26 10:20:00",-1.2,0,-,-,93,11.9,35
"GOE","Gösgen",380,640421,245949,"2020-02-26 10:20:00",1.5,0,0,80,90,10.1,44
"GUE","Gütsch, Andermatt",2283,690050,167475,"2020-02-26 10:20:00",-9.7,0,0,173,80,29.9,33
"GUT","Güttingen",440,738421,273962,"2020-02-26 10:20:00",1.1,0.1,0,96,96,4.7,21
"HLL","Hallau",419,677456,283472,"2020-02-26 10:20:00",0.9,0,0,122,99,24.1,29
"HOE","Hörnli",1144,713516,247756,"2020-02-26 10:20:00",-2.6,0.4,0,37,100,31.3,7
"ILZ","Ilanz",698,735685,181965,"2020-02-26 10:20:00",0.8,0,0,53,99,-,28
"INT","Interlaken",577,633023,169092,"2020-02-26 10:20:00",0.5,0.3,0,21,92,10.8,16
"JUN","Jungfraujoch",3580,641930,155275,"2020-02-26 10:20:00",-18.3,-,0,77,100,66.2,-
"KOP","Koppigen",485,612662,218664,"2020-02-26 10:20:00",1.5,0,0,95,86,22,37
"BRL","La Brévine",1050,536981,203974,"2020-02-26 10:20:00",-2.7,0,0,170,85,32,34
"CDF","La Chaux-de-Fonds",1017,550919,214861,"2020-02-26 10:20:00",-2.5,0,0,174,83,25.6,33
"DOL","La Dôle",1669,497060,142371,"2020-02-26 10:20:00",-6.7,1.5,0,9,100,52.9,7
"LAC","Lachen / Galgenen",468,707637,226334,"2020-02-26 10:20:00",1.7,0,-,-,94,-,28
"LAG","Langnau i.E.",743,628003,198793,"2020-02-26 10:20:00",0.3,0,0,130,86,21.2,36
"MLS","Le Moléson",1974,567718,155076,"2020-02-26 10:20:00",10.8,0.6,0,31,76,35.3,21
"LEI","Leibstadt",341,656373,272121,"2020-02-26 10:20:00",1.9,0,0,73,87,29.9,35
"ATT","Les Attelas",2735,586854,105302,"2020-02-26 10:20:00",-12.5,-,0,212,100,27.4,-
"CHB","Les Charbonnières",1045,513821,169387,"2020-02-26 10:20:00",-2.5,0.2,-,-,88,6.5,24
"DIA","Les Diablerets",2964,581914,130622,"2020-02-26 10:20:00",-15.8,-,0,68,86,26.3,-
"MAR","Les Marécottes",990,567375,107577,"2020-02-26 10:20:00",-1.6,0.1,-,-,95,4,20
